"","Law ID","State","Effect","Law Class","Law Class Subcategory","Definition","Type of Change","Handguns or Longguns","Effective Date","Content","Supersession Date"
"684","HI1033","Hawaii",NA,"Child Access Laws","Intentional, Reckless, Or Knowing Provision","Prohibits individuals from furnishing guns to minors",NA,"Handgun And/Or Long Gun",NA,"No law imposing child access laws - intentional, reckless, or knowing provision",NA
"685","HI1034","Hawaii","Restrictive","Dealer License",NA,"Requires dealers of firearms to be licensed by the state","Implement","Handgun",1921-03-14,"Section 2030 A. The annual fee for a license to sell firearms in the Territory of Hawaii, either at wholesale or retail, shall be ten dollars ($10.00)

Section 2030 D. Any person, firm or corporation who or which shall sell any firearm or firearms within the Territory of Hawaii without having a valid license so to do, or who or which being a holder of any such license shall violate any of the terms or conditions of the same, shall be deemed guilty of a misdemeanor and shall be punished by a fine of not less than one hundred dollars ($100.00) nor more than on thousand dollars ($1000.00), or by imprisonment for not less than three months nor more than one year",NA
"686","HI1035","Hawaii","Restrictive","Background Checks","Permit To Purchase","Requires Law Enforcement to conduct a check before a permit may be issued","Implement","Handgun",1927-07-01,"No person shall acquire the ownership of a firearm, whether usable or unusable, serviceable or unserviceable, modern or antique, registered under prior law or by a prior owner or unregistered, either by purchase, gift, inheritance, bequest, or in any other manner, whether procured in the State or imported by mail, express, freight, or otherwise, until the person has first procured from the chief of police of the county of the person's place of business or, if there is no place of business, the person's residence or, if there is neither place of business nor residence, the person's place of sojourn, a permit to acquire the ownership of a firearm as prescribed in this section. When title to any firearm is acquired by inheritance or bequest, the foregoing permit shall be obtained before taking possession of a firearm; provided that upon presentation of a copy of the death certificate of the owner making the bequest, any heir or legatee may transfer the inherited or bequested firearm directly to a dealer licensed under section 134-31 or licensed by the United States Department of Justice without complying with the requirements of this section.",NA
"687","HI1036","Hawaii","Restrictive","Minimum Age","Purchase And Sale","Prohibits the sale to and/or purchase of guns by individuals under a specific age","Implement","Handgun",1966-01-01,"It is unlawful for persons under the age of 20 to acquire any firearm, punishable by up to $500 and one year in jail","1972-01-01"
"688","HI1037","Hawaii","Permissive","Minimum Age","Purchase And Sale","Prohibits the sale to and/or purchase of guns by individuals under a specific age","Modify","Handgun",1979-01-01,"The chief of police of the respective counties may issue permits to acquire firearms to citizens of the United States of the age of eighteen years or more","1994-07-01"
"689","HI1038","Hawaii","Restrictive","Minimum Age","Purchase And Sale","Prohibits the sale to and/or purchase of guns by individuals under a specific age","Modify","Handgun",1994-07-01,"The chief of police of the respective counties may issue permits to acquire firearms to citizens of the United States of the age of twenty-one years or more",NA
"690","HI1039","Hawaii","Restrictive","Permit To Purchase","Maximum Waiting Period","Establishes the maximum amount of time law enforcement may wait before issuing a permit or denying the applicant","Implement","Long Gun",1981-06-24,"a permit shall be issued no earlier than ten calendar days after the date of application; provided that a permit shall be issued, or an application denied, no later than fifteen days from the date of the application.","1988-06-13"
"691","HI1040","Hawaii","Permissive","Permit To Purchase","Maximum Waiting Period","Establishes the maximum amount of time law enforcement may wait before issuing a permit or denying the applicant","Modify","Handgun",1988-06-13,"no permit shall be issued to a first time applicant earlier than ten calendar days after the date of the application; provided that a permit shall be issued or the application denied before the sixteenth day from the date of application.","1992-06-29"
"692","HI1041","Hawaii","Restrictive","Permit To Purchase",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement","Implement","Handgun",1927-07-01,"Permits to acquire.

(a) No person shall acquire the ownership of a firearm, whether usable or unusable, serviceable or unserviceable,

modern or antique, registered under prior law or by a prior owner or unregistered, either by purchase, gift, inheritance,

bequest, or in any other manner, whether procured in the State or imported by mail, express, freight, or otherwise, until the person has first procured from the chief of police of the county of the person's place of business or, if there is no place of business, the person's residence or, if there is neither place of business nor residence, the person's place of

sojourn, a permit to acquire the ownership of a firearm as prescribed in this section. When title to any firearm is acquired by inheritance or bequest, the foregoing permit shall be obtained before taking possession of a firearm;

provided that upon presentation of a copy of the death certificate of the owner making the bequest, any heir or legatee

may transfer the inherited or bequested firearm directly to a dealer licensed under section 134-31 or licensed by the

United States Department of Justice without complying with the requirements of this section.",NA
"693","HI1042","Hawaii","Restrictive","Permit To Purchase",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement","Implement","Long Gun",1927-07-01,"Permits to acquire.

(a) No person shall acquire the ownership of a firearm, whether usable or unusable, serviceable or unserviceable, modern or antique, registered under prior law or by a prior owner or unregistered, either by purchase, gift, inheritance, bequest, or in any other manner, whether procured in the State or imported by mail, express, freight, or otherwise, until the person has first procured from the chief of police of the county of the person's place of business or, if there is no place of business, the person's residence or, if there is neither place of business nor residence, the person's place of sojourn, a permit to acquire the ownership of a firearm as prescribed in this section. When title to any firearm is acquired by inheritance or bequest, the foregoing permit shall be obtained before taking possession of a firearm;provided that upon presentation of a copy of the death certificate of the owner making the bequest, any heir or legatee may transfer the inherited or bequested firearm directly to a dealer licensed under section 134-31 or licensed by the United States Department of Justice without complying with the requirements of this section.","1951-06-12"
"694","HI1043","Hawaii","Permissive","Permit To Purchase",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement","Repeal","Long Gun",1951-06-12,"(a) No person shall acquire the ownership of a firearm (other than a rifle or shotgun having a barrel length of eighteen inches or over), whether usable or unusable, serviceable or unserviceable, modern or antique, registered under prior law or by a prior owner or unregistered, either by purchase, gift, inheritance, bequest, or in any other manner, whether procured in the State or imported by mail, express, freight, or otherwise, until the person has first procured from the chief of police of the county of the person's place of business or, if there is no place of business, the person's residence or, if there is neither place of business nor residence, the person's place of sojourn, a permit to acquire the ownership of a firearm as prescribed in this section","1981-06-24"
"695","HI1044","Hawaii","Restrictive","Permit To Purchase","Maximum Waiting Period","Establishes the maximum amount of time law enforcement may wait before issuing a permit or denying the applicant","Modify","Handgun",1992-06-29,"no permit shall be issued to a first time applicant earlier than fourteen calendar days after the date of the application; provided that a permit shall be issued or the application denied before the twentieth day from the date of application. ","1994-06-21"
"696","HI1045","Hawaii","Restrictive","Waiting Period",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement","Implement","Handgun",1988-06-09,"(e) The permit application form shall be signed by the applicant and by the issuing authority. One copy of the permit shall be retained by the issuing authority as a permanent official record. Except for sales to dealers licensed under section 134-31, or dealers licensed by the United States Department of the Treasury, or law enforcement officers, or where a license is granted under section 134-9, or where any firearm is registered pursuant to section 134-3(a), no permit shall be issued to a first time applicant earlier than ten calendar days after the date of the application; provided that a permit shall be issued or the application denied before the sixteenth day from the date of application. Persons who have previously obtained permits subject to the ten-day waiting period required by this subsection and who make a subsequent application within one year of the issue date of the first permit may be issued permits in less than ten days. Permits issued to acquire any pistol or revolver shall be void unless used within ten days after the date of issue. Permits to acquire a pistol or revolver require a separate application and permit for each transaction. Permits issued to acquire any rifle or shotgun shall entitle the permittee to make subsequent purchases of rifles or shotguns for a period of one year from the date of issue without a separate application and permit for each acquisition, subject to the disqualifications under section 134-7.","1992-06-29"
"697","HI1046","Hawaii","Restrictive","Permit To Purchase","Maximum Waiting Period","Establishes the maximum amount of time law enforcement may wait before issuing a permit or denying the applicant","Modify","Handgun",1994-06-21,"no permit shall be issued to an applicant earlier than fourteen calendar days after the date of the application; provided that a permit shall be issued or the application denied before the twentieth day from the date of application",NA
"698","HI1049","Hawaii",NA,"Waiting Period",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Long Gun",NA,"No law imposing waiting period for purchase of long guns","1988-06-09"
"699","HI1050","Hawaii","Restrictive","Minimum Age","Purchase And Sale","Prohibits the sale to and/or purchase of guns by individuals under a specific age","Modify","Long Gun",1972-01-01,"The chief of police of the respective counties may issue permits to acquire firearms to citizens of the United States of the age of eighteen years or more","1979-01-01"
"700","HI1051","Hawaii","Restrictive","Prohibited Possessor","Mental Health : Diagnosed With Significant Behavioral, Emotional Or Mental Disorder","Prohibits the possession of firearms for those who have been diagnosed with a significant behavorial, emotion, or mental disorder","Implement","Handgun And/Or Long Gun",1990-06-19,"(c) No person who: (3) Is or has been diagnosed as having a significant behavioral, emotional, or mental disorders as defined by the most current diagnostic manual of the American Psychiatric Association or for treatment for organic brain syndromes;



shall own, possess, or control any firearm or ammunition therefor, unless the person has been medically documented to be no longer adversely affected by the addiction, abuse, dependence, mental disease, disorder, or defect.",NA
"701","HI1052","Hawaii","Restrictive","Prohibited Possessor","Dvro","Prohibits individuals with a domestic violence restraining order from owning, possessing, or purchasing firearms","Implement","Handgun And/Or Long Gun",1993-06-10,"No person who has been restrained pursuant to an order of any court, including an ex parte order as provided in this subsection, from contacting, threatening, or physically abusing any person, shall possess, control, or transfer ownership of any firearm or ammunition therefor, so long as the protective order, restraining order, or any extension is in effect, unless the order, for good cause shown, specifically permits the possession of a firearm and ammunition. The restraining order or order of protection shall specifically include a statement that possession, control, or transfer of ownership of a firearm or ammunition by the person named in the order is prohibited. Such person shall relinquish possession and control of any firearm and ammunition owned by that person to the police department of the appropriate county for safekeeping for the duration of the order or extension thereof.","2000-06-07"
"702","HI1053","Hawaii","Restrictive","Prohibited Possessor","Dvro Ex Parte","Temporarily prevents individuals with ex parte DVROs from owning, possessing, or purchasing firearms","Implement","Handgun And/Or Long Gun",1993-06-10,"No person who has been restrained pursuant to an order of any court, including an ex parte order as provided in this subsection, from contacting, threatening, or physically abusing any person, shall possess, control, or transfer ownership of any firearm or ammunition therefor, so long as the protective order, restraining order, or any extension is in effect, unless the order, for good cause shown, specifically permits the possession of a firearm and ammunition. The restraining order or order of protection shall specifically include a statement that possession, control, or transfer of ownership of a firearm or ammunition by the person named in the order is prohibited. Such person shall relinquish possession and control of any firearm and ammunition owned by that person to the police department of the appropriate county for safekeeping for the duration of the order or extension thereof.","2000-06-07"
"703","HI1055","Hawaii","Restrictive","Prohibited Possessor","Dvro : Expanded","Expands the DVRO provision to include dating partners","Modify","Handgun And/Or Long Gun",2000-06-07,"“Dating relationship” means a romantic, courtship, or engagement relationship, often but not necessarily characterized by actions of an intimate or sexual nature, but does not include a casual acquaintanceship or ordinary fraternization between persons in a business or social context.",NA
"704","HI1056","Hawaii",NA,"Safety Training Required","To Purchase","Requires firearm safety training certificate for the purchase of a firearm",NA,"Handgun",NA,"No law requiring safety training for handguns","1995-07-01"
"705","HI1083","Hawaii","Restrictive","Prohibited Possessor","Dvro Ex Parte : Expanded","Extends the DRVO Ex Parte to include dating partners","Modify","Handgun And/Or Long Gun",2000-06-07,"“Dating relationship” means a romantic, courtship, or engagement relationship, often but not necessarily characterized by actions of an intimate or sexual nature, but does not include a casual acquaintanceship or ordinary fraternization between persons in a business or social context.",NA
"706","HI1057","Hawaii","Restrictive","Safety Training Required","To Purchase","Requires firearm safety training certificate for the purchase of a firearm","Implement","Handgun",1995-07-01," Effective July 1, 1995, no person shall be issued a permit under this section for the acquisition of a pistol or revolver unless the person, at any time prior to the issuance of the permit, has completed: (1) An approved hunter education course as authorized under section 183D-28; (2) A firearms safety or training course or class available to the general public offered by a law enforcement agency of the State or of any county; (3) A firearms safety or training course offered to law enforcement officers, security guards, investigators, deputy sheriffs, or any division or subdivision of law enforcement or security enforcement by a state or county law enforcement agency; or (4) A firearms training or safety course or class conducted by a state certified or National Rifle Association certified firearms instructor or a certified military firearms instructor that provides, at a minimum, a total of at least two hours of firing training at a firing range and a total of at least four hours of classroom instruction,  which may include a video that focuses on:

(A) The safe use, handling, and storage of firearms and firearm safety in the home; and

(B) Education on the firearm laws of the State.

An affidavit signed by the certified firearms instructor who conducted or taught the course, providing the name, address, and phone number of the instructor and attesting to the successful completion of the course by the applicant shall constitute evidence of certified successful completion under this paragraph.",NA
"707","HI1058","Hawaii",NA,"Prohibited Possessor","Erpo","Allows law enforcement officials to petition a court to remove firearms from a person who is known to be a risk to themselves or others",NA,"Handgun And/Or Long Gun",NA,"No law prohibiting possession of firearms by individuals subject to ERPO","2020-01-01"
"708","HI1059","Hawaii",NA,"Prohibited Possessor","Dvro","Prohibits individuals with a domestic violence restraining order from owning, possessing, or purchasing firearms",NA,"Handgun And/Or Long Gun",NA,"No law prohibiting individuals subject to DVRO from possessing firearms","1993-06-10"
"709","HI1060","Hawaii",NA,"Prohibited Possessor","Mental Health","Prohibits the possession of firearms for those with severe mental health challenges",NA,"Handgun And/Or Long Gun",NA,"No law prohibiting individuals with mental health issues from possessing firearms","1990-06-19"
"710","HI1061","Hawaii","Restrictive","Registration",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement","Modify","Long Gun",1994-07-01,"Every person who acquires a firearm pursuant to section 134-2 shall register the firearm in the manner prescribed by this section within five days of acquisition. The registration shall be on forms prescribed by the attorney general, which shall be uniform throughout the State, and shall include the following information: name of the manufacturer and importer; model; type of action; caliber or gauge; serial number; and source from which receipt was obtained, including the name and address of the prior registrant. If the firearm has no serial number, the permit number shall be entered in the space provided for the serial number, and the permit number shall be engraved upon the receiver portion of the firearm prior to registration. All registration data that would identify the individual registering the firearm by name or address shall be confidential and shall not be disclosed to anyone, except as may be required:

     (1) For processing the registration;

     (2) For database management by the Hawaii criminal justice data center;

     (3) By a law enforcement agency for the lawful performance of its duties; or

     (4) By order of a court.",NA
"711","HI1062","Hawaii",NA,"Safety Training Required",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Long Gun",NA,"No law requiring safety training for long guns",NA
"712","HI1063","Hawaii",NA,"Minimum Age","Youth Possession","Establishes a minimum age for possession of a gun",NA,"Long Gun",NA,"No law imposing minimum age for youth possession of long guns",NA
"713","HI1064","Hawaii","Restrictive","Registration",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement","Implement","Long Gun",1972-04-28,"Every person arriving in the State who brings or by any other manner causes to be brought into the State a firearm of any description, whether usable or unusable, serviceable or unserviceable, modern or antique, shall register the firearm within five days after arrival of the person or of the firearm, whichever arrives later, with the chief of police of the county of the person's place of business or, if there is no place of business, the person's residence or, if there is neither a place of business nor residence, the person's place of sojourn.","1994-07-01"
"714","HI1065","Hawaii","Restrictive","Background Checks","Sales From Dealer : Federal","Requires licensed realers to conduct a check pursuant to 1994 federal laws and 1994 Background Check System","Implement","Handgun",1994-02-28,"Beginning on the date that is 90 days after the date of enactment of this subsection and ending on the day before the date that is 60 months after such date of enactment, it shall be unlawful for any licensed importer, licensed manufacturer, or licensed dealer to sell, deliver, or transfer a handgun to an individual who is not licensed under section 923, unless— 

(A) after the most recent proposal of such transfer by the transferee— 

(i) the transferor has— 

(I) received from the transferee a statement of the transferee containing the information described in paragraph (3); 

(II) verified the identity of the transferee by examining the identification document presented; 

(III) within 1 day after the transferee furnishes the statement, provided notice of the contents of the statement to the chief law enforcement officer of the place of residence of the transferee; and 

(IV) within 1 day after the transferee furnishes the statement, transmitted a copy of the statement to the chief law enforcement officer of the place of residence of the transferee; and 

(ii) (I) 5 business days (meaning days on which State offices are open) have elapsed from the date the transferor furnished notice of the contents of the statement to the chief law enforcement officer, during which period the transferor has not received information from the chief law enforcement officer that receipt or possession of the handgun by the transferee would be in violation of Federal, State, or local law; or 

(II) the transferor has received notice from the chief law enforcement officer that the officer has no information indicating that receipt or possession of the handgun by the transferee would violate Federal, State, or local law.",NA
"715","HI1066","Hawaii","Restrictive","Background Checks","Sales From Dealer : Federal","Requires licensed realers to conduct a check pursuant to 1994 federal laws and 1994 Background Check System","Implement","Long Gun",1998-11-30,"Beginning on the date that is 30 days after the Attorney General notifies licensees under section 103(d) of the Brady Handgun Violence Prevention Act that the national instant criminal background check system is established, a licensed importer, licensed manufacturer, or licensed dealer shall not transfer a firearm to any other person who is not licensed under this chapter, unless—

(A) before the completion of the transfer, the licensee contacts the national instant criminal background check system established under section 103 of that Act;

(B) (i) the system provides the licensee with a unique identification number; or

(ii) 3 business days (meaning a day on which State offices are open) have elapsed since the licensee contacted the system, and the system has not notified the licensee that the receipt of a firearm by such other person would violate subsection (g) or (n) of this section; and

(C) the transferor has verified the identity of the transferee by examining a valid identification document (as defined in section 1028(d) of this title) of the transferee containing a photograph of the transferee.",NA
"716","HI1067","Hawaii",NA,"Open Carry","Not Restricted","Does not restrict the open carrying of guns",NA,"Handgun",NA,"No law restricting open carry for handguns","1988-06-13"
"717","HI1068","Hawaii",NA,"Permit To Purchase",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Long Gun",NA,"No law requiring permit for the purchase of a long gun","1927-07-01"
"718","HI1069","Hawaii","Permissive","Castle Doctrine",NA,"Allows individuals to use deadly force in defense of themselves, others, and their homes without the duty to retreat","Implement","Handgun And/Or Long Gun",1900-01-01,"Common law castle doctrine. Common law castle doctrine was solidified in the United States throughout the 19th century.  “By the beginning of the twentieth century it was well accepted in the United States that a man attacked in his own home had no duty to retreat before using deadly force, so long as he reasonably believed it necessary to save his own life.” Indeed, by the 1920s, sources note that the castle doctrine expanded to cover situations where the individual had a reasonable fear of imminent death or severe bodily harm. (Catalfamo 509).","1973-01-01"
"719","HI1070","Hawaii","Restrictive","Prohibited Possessor","Erpo : Expanded","Allows non-law enforcement officials to petition a court to remove firearms from a person who is known to be a risk to themselves or others","Implement","Handgun And/Or Long Gun",2020-01-01,"61: “Petitioner” means a law enforcement officer, family or household member of the respondent, medical professional, educator, or colleague, who files a petition pursuant to section 134-D or section 134-65.65(a): A petitioner requesting a one-year gun violence protective order shall include in the petition detailed allegations based on personal knowledge that the respondent poses a significant danger of causing a self-inflicted bodily injury or an injury to another person by owning, purchasing, possessing, receiving, or having in the respondent's custody or control any firearm or ammunition.",NA
"720","HI1071","Hawaii","Restrictive","Prohibited Possessor","Erpo : Ex Parte Expanded","Allows law enforcement officials/others to petition a court to remove firearms from a person before they have appeared in court","Implement","Handgun And/Or Long Gun",2020-01-01,"61: “Petitioner” means a law enforcement officer, family or household member of the respondent, medical professional, educator, or colleague, who files a petition pursuant to section 134-D or section 134-65.64(a) A petitioner may request that an ex parte gun violence protective order be issued before a hearing for a one-year gun violence protective order, without notice to the respondent.

(b) The court shall issue or deny an ex parte gun violence protective order on the same day that the petition is submitted to the court, unless the petition is filed too late in the day to permit effective adjudication, in which case the order shall be issued or denied on the next business day.",NA
"721","HI1072","Hawaii","Restrictive","Firearm Removal At Scene Of Domestic Violence","Authorized","Allows police officers to seize a firearm at the scene of a domestic violence incident","Implement","Handgun And/Or Long Gun",1996-07-01,"Any police officer who has reasonable grounds to believe that a person has recently assaulted or threatened to assault a family or household member may seize all firearms and ammunition that the police officer has reasonable grounds to believe were used or threatened to be used in the commission of the offense. The police officer may seize any firearms or ammunition that are in plain view of the officer or were discovered pursuant to a consensual search, as necessary for the protection of the officer or any family or household member. Firearms seized under this section shall be taken to the appropriate county police department for safekeeping or as evidence.","2012-07-03"
"722","HI1073","Hawaii",NA,"Firearms In College/University",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Handgun And/Or Long Gun",NA,"No law concerning firearms on college or university campus",NA
"723","HI1074","Hawaii",NA,"Local Laws Preempted By State",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Handgun And/Or Long Gun",NA,"State law does not preempt local law",NA
"724","HI1075","Hawaii",NA,"Prohibited Possessor","Convicted Of Crime : Removal","Requires police to remove firearms from individuals convicted of a firearm-prohibiting crime",NA,"Handgun And/Or Long Gun",NA,"No law requiring removal of firearms from individuals convicted of domestic violence or firearm-prohibiting crime","2000-05-26"
"725","HI1076","Hawaii","Restrictive","Prohibited Possessor","Convicted Of Firearm-Prohibiting Crime : Removal","Requires police to remove firearms from individuals convicted of a firearm-prohibiting crime","Implement","Handgun And/Or Long Gun",2000-05-26,"Any person disqualified from ownership, possession, or control of firearms and ammunition under section 134-7, within seven days of disqualification, shall voluntarily surrender all firearms and ammunition to the chief of police where the person resides or dispose of all firearms and ammunition. If any person fails to voluntarily surrender or dispose of all firearms and ammunition within seven days from the date of disqualification, the chief of police may seize all firearms and ammunition.",NA
"726","HI1077","Hawaii",NA,"Required Reporting Of Lost Or Stolen Firearms",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Handgun And/Or Long Gun",NA,"No law requiring reporting of lost or stolen firearms","2019-04-24"
"727","HI1078","Hawaii","Restrictive","Required Reporting Of Lost Or Stolen Firearms","Lost And Stolen Firearms","Victims of theft/loss of firearm must report incidents to relevant authorities","Implement","Long Gun",2019-04-24,"Every person shall report the loss, theft, or destruction of a firearm that the person owns or possesses within twenty-four hours upon the discovery of such loss, theft, or destruction to:

(1) The police department of the county within which the person resides; and

(2) The police department of the county where the theft, loss, or destruction occurred.",NA
"728","HI1079","Hawaii","Restrictive","Required Reporting Of Lost Or Stolen Firearms","Lost And Stolen Firearms","Victims of theft/loss of firearm must report incidents to relevant authorities","Implement","Handgun",2019-04-24,"Every person shall report the loss, theft, or destruction of a firearm that the person owns or possesses within twenty-four hours upon the discovery of such loss, theft, or destruction to:

(1) The police department of the county within which the person resides; and

(2) The police department of the county where the theft, loss, or destruction occurred.",NA
"729","HI1080","Hawaii","Restrictive","Firearm Removal At Scene Of Domestic Violence","Required","Requires police officers to seize a firearm at the scene of a domestic violence incident","Modify","Handgun And/Or Long Gun",2012-07-03,"Any police officer, with or without a warrant, shall take the following course of action, regardless of whether the physical abuse or harm occurred in the officer's presence: (f) The police officer shall seize all firearms and ammunition that the police officer has reasonable grounds to believe were used or threatened to be used in the commission of an offense under this section.",NA
"730","HI1081","Hawaii","Restrictive","Untraceable Firearms",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement","Implement","Handgun And/Or Long Gun",2020-09-16,"PART II. SECTION 2. The legislature finds that a ""ghost gun"" is a firearm that is assembled without serial numbers or other identification markings. A person may assemble a ghost gun from a prepackaged kit requiring only minimal expertise and, thus, bypass background checks, registration, and other legal requirements...



Accordingly, the purpose of this part is to:

   (1) Probhit the manufacture, purchase, or obtaining of firearm parts for the purpose of assembling a firearm having no serial number; and

   (2) Amend certain requirements relating to firearms registration.",NA
"731","HI1082","Hawaii","Restrictive","Untraceable Firearms",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement","Implement","Handgun And/Or Long Gun",2020-09-16,"(c)  Dealers licensed under section 134-31 or dealers licensed by the United States Department of Justice shall register firearms pursuant to this section on registration forms prescribed by the attorney general and shall not be required to have the firearms physically inspected by the chief of police at the time of registration.  An authorized dealer, as provided in section 134-31, or a dealer licensed by the United States Department of Justice, who brings, assembles, or causes to be brought into the State by any other means, separate parts and an unfinished firearm receiver that when assembled create a firearm, or parts created by a three-dimensional printer that when assembled create a firearm, shall register the unfinished firearm receiver and receive a serial number before the assembly of the firearm or the sale or transfer of unassembled firearm parts or a receiver to a third party in accordance with subsection (b).  Any sale or transfer of unfinished firearm receivers by an authorized dealer to a third party shall be conducted as if they were fully assembled firearms with a serial number engraved on the firearm receiver and in accordance with the firearms permitting process in section 134-2.  All other firearms and firearm receivers registered under this section shall be physically inspected by the respective county chief of police or the chief's representative at the time of registration.",NA
"732","IA1001","Iowa","Restrictive","Background Checks","Private Sales","Requires background checks; includes checks for permits to purchase where permit is valid for < 30 days","Implement","Handgun",1990-04-05,"724.15  Annual permit to acquire pistols or revolvers.

1. Any person who desires to acquire ownership of any pistol or revolver shall first obtain an annual permit. An annual permit shall be issued upon request to any resident of this state unless the person is subject to any of the following:

a. Is less than twenty-one years of age.

b. Is subject to the provisions of section 724.26.

c. Is prohibited by federal law from shipping, transporting, possessing, or receiving a firearm.       724.17  Application for annual permit to acquire—criminal history check required. The application for an annual permit to acquire pistols or revolvers may be made to the sheriff of the county of the applicant's residence and shall be on a form prescribed and published by the commissioner of public safety. The application shall require only the full name of the applicant, the driver's license or nonoperator's identification card number of the applicant, the residence of the applicant, and the date and place of birth of the applicant. The applicant shall also display an identification card that bears a distinguishing number assigned to the cardholder, the full name, date of birth, sex, residence address, and brief description and color photograph of the cardholder, or other identification as specified by rule of the department of public safety. The sheriff shall conduct a criminal history check concerning each applicant by obtaining criminal history data from the department of public safety which shall include an inquiry of the national instant criminal background check system maintained by the federal bureau of investigation or any successor agency. A person who makes what the person knows to be a false statement of material fact on an application submitted under this section or who submits what the person knows to be any materially falsified or forged documentation in connection with such an application commits a class ""D"" felony.",NA
"733","IA1002","Iowa",NA,"Background Checks","Private Sales","Requires background checks; includes checks for permits to purchase where permit is valid for < 30 days",NA,"Handgun",NA,"No law requiring background checks for private sales of handguns","1990-04-05"
"734","IA1003","Iowa","Restrictive","Background Checks","Sales From Dealer","Requires licensed realers to conduct a check or an individual purchasing a gun","Implement","Handgun",1990-04-05,"724.15  Annual permit to acquire pistols or revolvers.

1. Any person who desires to acquire ownership of any pistol or revolver shall first obtain an annual permit. An annual permit shall be issued upon request to any resident of this state unless the person is subject to any of the following:

a. Is less than twenty-one years of age.

b. Is subject to the provisions of section 724.26.

c. Is prohibited by federal law from shipping, transporting, possessing, or receiving a firearm.       724.17  Application for annual permit to acquire—criminal history check required. The application for an annual permit to acquire pistols or revolvers may be made to the sheriff of the county of the applicant's residence and shall be on a form prescribed and published by the commissioner of public safety. The application shall require only the full name of the applicant, the driver's license or nonoperator's identification card number of the applicant, the residence of the applicant, and the date and place of birth of the applicant. The applicant shall also display an identification card that bears a distinguishing number assigned to the cardholder, the full name, date of birth, sex, residence address, and brief description and color photograph of the cardholder, or other identification as specified by rule of the department of public safety. The sheriff shall conduct a criminal history check concerning each applicant by obtaining criminal history data from the department of public safety which shall include an inquiry of the national instant criminal background check system maintained by the federal bureau of investigation or any successor agency. A person who makes what the person knows to be a false statement of material fact on an application submitted under this section or who submits what the person knows to be any materially falsified or forged documentation in connection with such an application commits a class ""D"" felony.",NA
"735","IA1004","Iowa",NA,"Background Checks","Sales From Dealer","Requires licensed realers to conduct a check or an individual purchasing a gun",NA,"Handgun",NA,"No law requiring background checks for sales from dealers of handguns","1990-04-05"
"736","IA1005","Iowa","Permissive","Carrying A Concealed Weapon (Ccw)","May Issue","Requires permits for concealed carry; gives Law Enforcement discretion to issue concealed carry permits; may include subjective criteria for issuing","Implement","Handgun",1962-01-01,"Applications for permits to carry weapons shall be made to the sheriff of the county in which the applicant resides. Applications from persons who are nonresidents of the state, or whose need to go armed arises out of employment by the state, shall be made to the commissioner of public safety. In either case, the issuance of the permit shall be by and at the discretion of the sheriff or commissioner, who shall, before issuing the permit, determine that the requirements of sections 724.6 to 724.10 have been satisfied.","2011-01-01"
"737","IA1006","Iowa","Permissive","Carrying A Concealed Weapon (Ccw)","Shall Issue","Requires permits for concealed carrying; removes Law Enforcement discretion in issuing permit; only objective criteria for issuing permits","Modify","Handgun",2011-01-01,"1. Any person who is not disqualified under section 724.8, who satisfies the training requirements of section 724.9, and who files an application in accordance with section 724.10 shall be issued a nonprofessional permit to carry weapons.",NA
"738","IA1007","Iowa","Permissive","Castle Doctrine","Expanded 1","Expands castle doctrine beyond the home to the verhicle (or family member's vehicle) or place of work","Modify","Handgun And/Or Long Gun",1978-01-01,"Reasonable force, including deadly force, may be used even if an alternative course of action is available if the alternative entails a risk to life or safety, or the life or safety of a third party, or requires one to abandon or retreat from one's dwelling or place of business or employment.","2017-07-01"
"739","IA1008","Iowa",NA,"Child Access Laws","Intentional, Reckless, Or Knowing Provision","Prohibits individuals from furnishing guns to minors",NA,"Handgun And/Or Long Gun",NA,"No law imposing child access laws - intentional, reckless, or knowing provision",NA
